giaovien,mappct,mamon,lop,tuan,tietthu,tenbaihoc
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,20,"50,51",Bài 25. Phép cộng và phép trừ phân số
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,21,"52,53",Bài 26. Phép nhân và phép chia phân số
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,21,54,Bài 27. Hai bài toán về phân số
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,22,"55,56,57",Luyện tập chung
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,23,58,Bài tập chương VI
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,23,59,Bài 28. Số thập phân
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,"23,24","60,61,62,63",Bài 29. Tính toán với số thập phân
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,25,64,Bài 30. Làm tròn và ước lượng
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,25,65,Bài 31. Một số bài toán về tỉ số và tỉ số phần trăm
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,25,66,Ôn tập giữa kì II
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,26,"67,68",Kiểm tra giữa kì II
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,26,69,Bài 31. Một số bài toán về tỉ số và tỉ số phần trăm
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,27,"70,71",Luyện tập chung
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,27,72,Bài tập cuối chương VII
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,28,"73,74",Bài 38. Dữ liệu và thu thập dữ liệu
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,"28,29","75,76",Bài 39. Bảng thống kê và biểu đồ tranh
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,29,"77,78",Bài 40. Biểu đồ cột
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,30,"79,80",Bài 41. Biểu đồ cột kép
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,"30,31","81,82",Luyện tập chung
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,31,"83,84","Bài 42. Kết quả có thể và sự kiện trong trò chơi, thí nghiệm"
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,32,85,Ôn tập cuối kì 2
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,33,86,Bài 43. Xác suất thực nghiệm
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,34,87,Luyện tập chung
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,35,"88,89",Bài tập chương IX
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,"1,2,3","1,2,3",Bài 18. Hình tam giác đều. Hình vuông. Hình lục giác đều (Phần Hình học)
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,"4,5,6","4,5,6",Bài 19. Hình chữ nhật. Hình thoi. Hình bình hành. Hình thang cân
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,"7,8,9","7,8,9",Bài 20. Chu vi và diện tích của một số tứ giác đã học
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,10,"10,11",Luyện tập chung (Hình học)
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,11,12,Bài tập chương IV
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,"11,12","13,14",Bài 21. Hình có trục đối xứng
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,"12,13","15,16",Bài 22. Hình có tâm đối xứng
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,"13,14","17,18",Luyện tập chung (Hình học)
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,14,19,Bài tập chương V
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,15,20,HĐTHTN. Sử dụng máy tính cầm tay
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,"15,16","21,22",Bài học STEM: Tấm thiệp và phòng học của em
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,16,23,Ôn tập học kì 1
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,17,"24,25",Kiểm tra cuối kì 1
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,18,"26,27",HĐTHTN. Vẽ hình đơn giản với phần mềm GeoGebra
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,"19,20,21","28,29,30",Bài 32. Điểm và đường thẳng
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,"22,23","31,32",Bài 33. Điểm nằm giữa hai điểm. Tia
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,"24,25","33,34",Bài 34. Đoạn thẳng. Độ dài đoạn thẳng
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,26,35,Bài 35. Trung điểm của đoạn thẳng
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,"27,28","36,37",Luyện tập chung (Hình học)
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,"29,30","38,39",Bài 36. Góc
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,"31,32","40,41",Bài 37. Số đo góc
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,32,42,Luyện tập chung (Hình học)
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,32,43,Ôn tập cuối kì 2
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,33,"44,45",Kiểm tra cuối kì 2
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,33,46,Bài tập chương VIII
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,34,47,HĐTHTN. Kế hoạch chi tiêu cá nhân và gia đình
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,34,"48,49",HĐTHTN. Hoạt động thể thao nào được yêu thích nhất trong hè?
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,35,"50,51",HĐTHTN. Vẽ hình đơn giản với phần mềm GeoGebra
